;Sexe;Age_en_Classes;Age;Niv_Education;Sexe_Age;Sexe_Educ;Age_Educ;Sex_Age_Edu;Important;Relance;CulturePays
293;Homme;25_29;27;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;la famille, le travail et ce qui suit.;très bonne. il faut s intéresser.
855;Homme;30_34;33;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;de travailler.;réussir sa vie honnêtement, la santé, c'est tout.;que ça aille le mieux possible, je ne sais pas, je ne suis pas cultivé.
857;Homme;60_64;62;faible;H>55;H_faible;>55_faible;H>55_faible;l'argent.;avoir du travail, avoir sa maison, non, je ne vois pas.;c est bien, avant on n’avait pas de télévision et maintenant on est mieux informé.
858;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;avoir une famille unie.;avoir du travail, une maison, beaucoup d'amis.;puf! je ne sais pas, toujours respecter les opinions des autres.
862;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;argent, amour.;décadence.
849;Homme;30_34;31;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;ma femme et mes enfants.;mon travail, être heureux.;rien même avec insistance.
851;Femme;50_54;50;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;le travail, rien d'autre.;je ne vois pas même avec insistance.
828;Homme;60_64;64;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;d'avoir une bonne famille unie et complète. de voir ses petitsenfants grandir. le dimanche quand il fait mauvais c'est une fête d'avoir ses enfants.;
864;Homme;30_34;33;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé.;le travail, quand on vit en couple qu'on s'entende bien, avoir ses parents le plus longtemps possible.;les peintres, les monuments, la cuisine.
443;Homme;65_70;65;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;réussir sa vie familiale.;avoir un bon métier.;le cinéma. le théâtre, lieux de rencontres.
414;Homme;60_64;61;faible;H>55;H_faible;>55_faible;H>55_faible;réussir la vie de famille.;la santé, que les retraites ne soient pas diminuées.;elle n est pas à la portée des travailleurs.
410;Homme;>70;74;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;ma croyance en ma religion.;la bonne santé de toute la famille.;cela dépend du sens du mot.
450;Homme;35_39;36;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la famille.;l'argent, l'entourage.;évolution de la culture française par rapport à d autres pays étrangers.
631;Homme;50_54;50;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;un minimum de connaissances.;elle s effrite.
458;Femme;45_49;46;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;la famille, que tout se passe bien.;
457;Femme;45_49;46;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;ne rien manquer, vivre correctement, que tout aille bien. tout et rien aucune idée.;
678;Femme;20_24;23;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;l'épanouissement dans une vie de couple.;l'activité professionnelle, l'amitié très importante.;la littérature.
677;Homme;30_34;32;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;réussir ce que l'on fait.;avoir de l'argent avoir du temps libre.;un bel objet de musée.
676;Homme;>70;77;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;le bonheur de mes enfants et ma famille.;intérêt moyen de ce que font les français.
652;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;l'amour.;les voyages, la santé, le bien être, la sérénité, un certain confort matériel.;la littérature, cinéma, musique, histoire de l art.
675;Femme;30_34;30;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;l'amour.;la famille, les amis, les relations humaines.;à la cuisine, l art de vivre, tout ce qui est beau (sans critique dans un sens péjoratif sur tout ce qui se fait de nouveau).
699;Homme;55_59;58;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;Dieu;la patrie, le foyer, la paix dans le monde, la justice, la solidarité.;c est aussi bien que les peintres, que les musiciens, les savants, le patrimoine intellectuel, moral, artistique, etc. c est très vaste et très ?????? ce n est pas la même chose que la civilisation, c est un mode d expression, c est l aspect intellectuel de notre civilisation.
700;Homme;55_59;57;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'argent.;on est mal parti, plus ça va plus on s américanise, on n est plus français. il y a toujours quand même des français.
701;Femme;50_54;54;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;l'équilibre personnel.;la convivialité, le partage, la santé.;la langue française, théâtre, patrimoine.
702;Femme;65_70;66;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;le bonheur de mes enfants.;une certaine liberté, ma famille, de vrais amis mais pas du copinage.;les français ne la connaissent pas suffisamment, c est aussi bien science, littérature, théâtre, la peinture, la recherche, des premiers hommes à la vie d aujourd hui, c est quelque chose de très lointain, ce n est pas un recul.
703;Homme;25_29;29;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;le bonheur.;ça me suffit, ça englobe tout.;littérature, il y eu de grands littéraires en France du point de vue historique. c est la musique avec de grands compositeurs, des mathématiciens, des cinéastes, aujourd hui on peut parler aussi de BD.
704;Femme;45_49;49;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;le bonheur.;pouvoir faire ce que l'on a envie de faire, en toute occasion garder sa moralité, être juste selon ses possibilités, apporter de l'aide aux autres, ne pas vivre en reclus.;elle est très moyenne, plus que moyenne quand on pense que les jeunes ne connaissent pas le sens des mots. elle est en perte parce que trop d étrangers connaissent mieux la culture française que les français euxmêmes mis à part la télévision et les BD.
705;Femme;20_24;22;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;travailler.;élever comme il faut son enfant avoir un peu d'argent.;ne sait pas, ça ne me fait penser à rien, je ne sais pas.
706;Femme;40_44;43;faible;F31_55;F_faible;31_55_faible;F31_55_faible;santé.;le travail, les enfants, mon mari.;elle n est pas formidable. dans le temps c était mieux que maintenant. à l école les profs ne se cassent plus la tête, il n y a pas de cours. dans le temps, il y avait des remplaçants pour les maîtresses malades.
886;Homme;20_24;22;faible;H<=30;H_faible;<=30_faible;H<=30_faible;réussir sa vie.;le dialogue découvrir des choses apprendre toutes les valeurs morales et fondamentales.;elle régresse à cause du manque de professeurs, trop superficielle au niveau de l enseignement. du fait que tout le monde est pressé, la culture régresse.
885;Femme;60_64;63;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;la paix, le bonheur, l'amour des hommes, les moyens pour une vie confortable, moins d'injustice, la dignité et le respect d'autrui.;la manière de vivre de penser tout un passé historique qui n existe plus, beaucoup ne lisent plus, l art des belles lettres d un pays heureux.
884;Homme;40_44;43;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;réussir sa vie professionnelle et de couple.;gagner sa vie correctement pour être à l'abri du besoin, santé et amitié.;le mode de vie, le théâtre, les poètes, la peinture surtout la littérature.
883;Femme;>70;70;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;l'amour dans tous les sens du terme.;l'amitié, l'honnêteté, le courage, la propreté, la dignité, la famille.;je trouve que la télévision ne progresse pas les gens ne lisent pas assez et surtout sans penser à se cultiver, les lettres, la musique tous les arts et ce qui fait la valeur.
882;Femme;30_34;34;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;ma famille.;le bienêtre, train de vie, l'entente, l'amitié.;très riche parce que très diversifié, le français est un créateur un scientifique. le français d autrefois était plus cultivé qu aujourd hui.
606;Homme;20_24;24;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;ma femme.;avoir du travail, avoir à manger, pouvoir vivre en général.;la culture française c est vague. ça veut dire quoi la culture française.
597;Homme;35_39;36;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;famille, fraternité, paix, respect des lois.;traditions.
608;Femme;20_24;24;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;pouvoir exercer la profession pour laquelle j'étudie.;pouvoir fonder une famille, pouvoir concilier travail et voyage, être épargné par les problèmes de santé, la société évolue un peu mieux. que toute cette ambiance de chômage, de crise soit diminuée.;répandue, c est un modèle, à l échelle mondiale c est le reflet d une certaine culture. je m intéresse aussi à d autres cultures, j idéalise pas la culture française, qu elle évolue actuellement dans le sens des malaises, la cohabitation de différentes cultures qui à mon avis est positive, elle lui donne un second souffle.
609;Homme;50_54;52;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;être heureux au travail, pas trop s'embêter, être heureux en ménage, bien gagner sa vie pour les enfants pour élever les enfants correctement, les congés pouvoir se payer des vacances d'été vacances d'hiver, être heureux.;c est la tradition, tout ce qu un enfant apprend depuis son berceau, à l école, ses parents, voisins, amis.
610;Femme;25_29;26;faible;F<=30;F_faible;<=30_faible;F<=30_faible;mon enfant.;mon mari, ma famille, l'argent si on n’a pas d'argent, on est rien, du travail, avoir des amis, des contacts avec les gens, un bon environnement, les loisirs, les courses de voitures.;assez riche, les bouquins, tous ça, recherche médicale, c est quand même assez évolué, c est l essentiel.
611;Homme;35_39;36;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;avoir un travail intéressant.;faire un travail qui rapporte assez, avec assez de temps libre, une activité intéressante.;ne sait pas, on en parle beaucoup, les us et coutumes françaises c est tellement vague la culture.
612;Femme;35_39;36;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;être heureux.;vivre selon ses désirs, la liberté, exprimer, élever mon enfant.;les grands classiques tel que Giono, Clavel rien d autre, Picasso la renommée mondiale Paris capitale culturelle et artistique, mais c est peut être un bien grand mot, où est la culture.
613;Femme;>70;73;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;le travail, la santé, quand on a le travail la santé ça va. à mon âge tout ce qui est important est que mes petitsenfants réussissent.;elle diminue pas la culture française, les gens lisent de plus en plus, s instruisent, de mon temps les gens travaillaient et ne lisaient pas les journaux.
614;Homme;45_49;45;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;ma famille, ma fille.;la liberté d'expression, liberté de l'individu, accentuer les recherches médicales, mais qu'elles soient au profit de l'homme et non au détriment de l'homme, par exemple la bombe atomique, c'est pas un bien pour l'homme, qu'il n'y est pas de guerre.;elle dégringole, nous sommes conditionnés par la télévision et on choisit plus, on nous fait gober ce qu ils veulent, heureusement il y a la ????????. elle est en décadence, pas assez d aide, pour les arts, musiciens, peintres et du coup on reste rétrograde, on considère un artiste qu à titre posthume et non quand il est en pleine créativité, à ce moment il est trop tard.
615;Homme;35_39;35;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;le rire.;la réussite professionnelle, la vie de famille, la santé, le respect des autres.;c est comme la confiture moins on en a plus on l étale, beaucoup de frime.
616;Femme;>70;72;faible;F>55;F_faible;>55_faible;F>55_faible;c'est mon fils.;mes enfants, petitsenfants, ma famille.;c est beaucoup moins net, c est embrouillé, c est leur façon d écrire que j aime pas.
833;Homme;35_39;39;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la moralité.;la santé, la famille.;prétention.
876;Homme;25_29;27;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;le travail.;la famille.;
875;Femme;35_39;35;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;le travail.;on ne s en occupe pas assez.
874;Homme;25_29;29;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la famille.;le mode de vie.;elle se dégrade. elle est trop mélangée à d autres cultures.
838;Homme;25_29;29;faible;H<=30;H_faible;<=30_faible;H<=30_faible;la santé.;la famille, le bricolage.;ne sait pas, rien.
199;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;être heureux (la famille).;la santé, l'argent.;la musique, il y a du bon et du mauvais, Jean Dutourd. le cinéma, le cinéma français n est pas si mauvais que ça.
214;Femme;30_34;30;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;le bonheur, le bonheur tout court, en tout.;la santé, c'est tout.;la langue française, bien la parler, l histoire. elle pourrait s améliorer la culture française, c est tout.
878;Femme;35_39;39;faible;F31_55;F_faible;31_55_faible;F31_55_faible;aimer et être aimé.;la communication.;qu il y a de moins en moins de gens cultivés.
837;Femme;35_39;37;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;santé.;le travail, la famille, l'avenir pour les enfants.;l éducation, le savoir.
888;Homme;35_39;35;faible;H31_55;H_faible;31_55_faible;H31_55_faible;ma vie de couple.;la santé de ma famille, le travail, l'argent, le confort.;que ????? elle se meure doucement, la lecture est belle le spectacle la poésie.
887;Homme;30_34;34;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;son équilibre.;réussite en tout sens, travail, amour, amitié, argent.;la manière de vivre et de s exprimer, tous les spectacles, théâtre, cuisine, opéra, lecture tout ce qui se perd un peu hélas.
847;Homme;>70;78;faible;H>55;H_faible;>55_faible;H>55_faible;la vie de couple.;le travail et la satisfaction.;il faut la préserver absolument, nous sommes une des plus vieilles civilisations , donc il faut y faire attention.
845;Homme;>70;75;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;la santé.;la famille, la descendance.;elle a tendance à s améliorer, mais elle a encore beaucoup d efforts à faire.
437;Femme;45_49;49;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;la possibilité de s'accomplir.;la tolérance, la vie sentimentale, la liberté.;la littérature. les arts, la langue française.
436;Femme;30_34;32;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;le travail.;l'argent, les sentiments.;la littérature. le cinéma, le tourisme.
604;Femme;30_34;34;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;santé.;l'argent, l'amour.;il y a encore à faire, c est dommage.
603;Femme;>70;70;faible;F>55;F_faible;>55_faible;F>55_faible;que mes enfants et mes petitsenfants soient heureux.;santé, la joie de vivre.;c est pas joli. les enfants ne sont plus polis, ils manquent d éducation.
602;Homme;30_34;31;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé.;la famille, l'argent, les loisirs.;les français sont assez cultivés.
601;Femme;20_24;22;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;bonne situation pour les enfants.;l'argent, du travail, la santé, la famille, les loisirs.;la culture française n est plus pareille, les gens lisent moins à cause de la télévision.
600;Homme;55_59;59;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;les loisirs.;santé, niveau de vie.;elle va toujours en s améliorant, les jeunes ne s en occupe pas beaucoup.
599;Femme;30_34;30;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;le bonheur.;la santé, la famille, avoir le nécessaire pour vivre correctement.;
598;Homme;40_44;44;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la famille au foyer;culture en général, honnêteté, respect des opinions.;préserver la culture française à tout prix.
596;Homme;55_59;59;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;le bonheur.;la famille, cessation du chômage, stabilisation des prix, essayer de faire quelque chose pour les jeunes.;la culture française diminue de plus en plus dans le monde. la langue française est de moins en moins utilisée dans le monde.
296;Femme;60_64;62;faible;F>55;F_faible;>55_faible;F>55_faible;le bonheur autour de soi.;que tout le monde ait du travail, la santé pour chacun.;des efforts dans ce domaine. et sur certaines émissions de télévision telle apostrophes.
880;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;ma fille.;la famille.;
683;Homme;18_19;19;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la vie de famille.;la santé, le moral, le travail.;la lecture, les expositions, le théâtre.
852;Homme;40_44;40;faible;H31_55;H_faible;31_55_faible;H31_55_faible;de réussir, professionnel.;santé et argent.;c est important.
585;Homme;40_44;40;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé.;le travail, le chômage.;
586;Femme;>70;70;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;bien s'entendre avec ses enfants.;cela a du bon, il y a une évolution plus qu à notre époque, pour le cinéma, les théâtres, les concerts. je suis allée à Bercy voir Johnny.
587;Homme;20_24;23;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;Dieu.;l'art, le bonheur, les autres.;décadence.
588;Femme;30_34;31;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;les enfants.;l'entente en ménage, le bien être de mes enfants.;la langue française. je ne vois que ça.
589;Femme;20_24;22;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;qu'il n'arrive rien à mon fils.;avoir un travail assuré, être heureuse c'est à dire avoir ce qu'il faut pour bien vivre.;
590;Femme;25_29;26;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;bien élever mes enfants et qu'il ne manque de rien.;avoir de l'argent, être en bonne santé, une bonne ambiance familiale.;les livres.
591;Homme;60_64;63;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;l'argent, gagner un gros loto, que les enfants réussissent travail santé et bonheur.;c est pas important.
592;Homme;35_39;37;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;le bonheur.;tout découle du bonheur.;une méchanceté, la culture c est comme la confiture moins on en a plus on en étale.
593;Homme;55_59;57;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'argent, du travail pour les jeunes.;
787;Femme;65_70;67;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la santé.;avoir une famille unie, mais j'ai un fils qui ne peut pas me voir. Faire des sorties amicales avec des amis, mais je ne peux plus en faire car je suis malade.;ne sait pas. un peu de théâtre, la musique, le sport c est de la culture, ça quand même. les artistes euxmêmes car il y a des bons acteurs qu’on n’oublie pas, qui laissent une trace de la culture française.
788;Femme;30_34;30;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;réussir une vie familiale, équilibrée.;une vie sociale équilibrée et harmonieuse, la santé, être bien dans sa peau, être positif, se sentir content de ses choix, vivre selon ses goûts.;elle se perd de plus en plus, elle tombe un peu en désuétude, ne serait-ce que les programmes de la télévision qui ne vont pas chercher très haut. elle gagnerait à être plus connue, plus largement diffusée, par exemple : le théâtre, la musique.
789;Homme;45_49;46;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;ma vie familiale et mes proches évidemment.;l'argent, le travail et la santé c'est les seuls trucs dans ma vie, si j'ai les trois, c'est ce qui compte pour les français.;je n ai pas grand chose à dire car ceux qui vont à l école jusqu à 25 ans sont très cultivés, alors que celui dont ses parents sont paumés et ne peuvent pas envoyer leurs enfants à l école, il reste (cave) et puis c est tout.
257;Femme;25_29;29;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;la santé.;l'amour, la liberté, la paix, la démocratie, la qualité de la vie, le travail.;"Brecht : ""c est le fromage"" quelque chose de valorisant j en suis fière. diversité, richesse, profond mais mal partagée."
258;Homme;20_24;24;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;avoir de l'argent et ne pas travailler.;les loisirs : le foot, les ballades, une bonne bouffe entre copains, la musique, une petite femme.;ne sait pas.
161;Femme;35_39;38;faible;F31_55;F_faible;31_55_faible;F31_55_faible;vivre mieux.;le confort dans la maison, les vacances, mieux s'habiller, la nourriture.;je ne sais pas, je trouve très bien comme c est maintenant. je ne connais pas du tout.
568;Femme;55_59;59;faible;F>55;F_faible;>55_faible;F>55_faible;une bonne entente conjugale.;être bien chez soi. bien vivre avec les enfants quand ils sont partis et ses parents aussi, le plus important, c'est la bonne entente.;la culture française n a pas évolué Jack Lang a fait beaucoup parce qu il fait passer les bibliobus dans ?????. j aime lire.
567;Homme;20_24;23;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé et la famille.;avoir un travail, une maison, être heureux.;rien, le cinéma, elle est pas trop mal, Jack Lang.
1001;Homme;25_29;25;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;le bonheur intérieur, vivre en harmonie avec soimême et les autres.;la paix, la santé, du travail intéressant, ne pas être dans le besoin.;elle n est plus enseignée à la jeunesse! les écrivains, les poètes, les artistes, les peintres, les sculpteurs, l histoire... ce qui est propre à notre pays : notre langue en général, mais ce qui est vivant.
902;Femme;50_54;51;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;le travail, l'argent, l'amour, les enfants.;ne sait pas.
901;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être heureuse.;la santé, le travail.;un des pays les plus cultivés.
900;Homme;30_34;31;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la santé.;la famille, l'argent, le travail.;elle se défend.
899;Homme;>70;80;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;la santé.;une fin de vie heureuse.;pays encore cultivé, mais un peu de décadence.
898;Femme;18_19;18;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la réussite sociale.;avoir de l'argent.;ne sait pas.
896;Homme;50_54;52;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé de votre famille.;le travail.;c est bien placé, pas plus bête que les autres.
895;Homme;40_44;41;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;essayer de vivre comme je l'entends, liberté.;la famille, le travail, la patrie.;dégénérescence comme toute la culture occidentale.
987;Homme;60_64;62;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;le bonheur familial.;on la laisse partir.
375;Femme;45_49;45;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;que mes enfants réussissent leurs études, qu'ils aient du travail.;qu'on vive le plus possible pour profiter des enfants et petitsenfants.;le 7ème art : le cinéma, le théâtre. le patrimoine, les musées, les tableaux, les expositions.
374;Femme;>70;83;faible;F>55;F_faible;>55_faible;F>55_faible;s'aimer, s'entraider.;d'avoir mes enfants c'est tout. les petitsenfants viennent me voir.;qu est-ce que ça veut dire!
373;Homme;>70;75;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;de réussir sa vie familiale, le mariage, 52 ans de mariage.;avoir des enfants et ses petitsenfants, bonne harmonie familiale, bonne harmonie avec les voisins.;culture, littérature, musique... tous les arts. au point de vue peinture cela ne s améliore pas d après moi. ça ne me plaît pas. musique, cinéma, spectacles ça ne s améliore pas... musique , des cris. Littérature, toujours des livres très bien qu on trouve.
372;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la famille.;la santé, du travail, être tranquille, qu'on me foute la paix et foutre la paix aux gens.;des gens comme Molière, Hugo... Alexandre, Duras. la chanson française ==> Renaud, Brasseur, Brel, l expression française. tout... le cinéma français. sinon la peinture je ne m y intéresse pas trop.
371;Femme;40_44;43;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;la santé de mon mari et de mes enfants.;du travail, tout est dit à part santé et travail, affection entre nous, amour de mes enfants.;surtout la littérature, le bon français, bien s exprimer, ne pas faire de fautes de français quand on parle. c est à peu près tout, j aime bien la peinture, les choses artistiques, c est bien dans la vie, ça permet de s évader.
390;Homme;30_34;33;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la vie.;la famille, que tout aille bien.;l affaire du courrier de Lyon pièce de Hossein. théâtre. Jack Lang qui a fait des efforts pour le théâtre.
389;Femme;40_44;44;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;d'aimer et d'être aimé.;sans amour il n'y a rien d'autre.;pauvre, manque d artistes, pas très soutenue, pas encouragée. il faudrait augmenter son budget.
388;Homme;18_19;19;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;réussir mon mariage.;travail fixe. vivre dans le confort. ne pas souffrir d'une guerre.;théâtre. patrimoine français.
387;Homme;>70;74;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;le bonheur, vivre de son travail.;cultivateur. amélioration de la lutte contre les maladies, insectes.
542;Femme;35_39;35;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;bien s'entendre, famille unie.;avoir du travail, un travail intéressant et pouvoir se payer aussi des loisirs.;la lecture, la télévision, les informations, certains films.
541;Homme;25_29;25;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;la famille.;l'argent.;littérature, théâtre, tout ce qui est artistique. et puis à la fin les études (ce n est pas la dernière chose de la culture française...) mais c est la dernière chose à laquelle je pense.
312;Femme;65_70;65;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;le bonheur en famille.;la santé, la sécurité que la société doit apporter, une certaine aisance matérielle.;la littérature, la peinture. la musique tout ce qui nous élève.
733;Homme;>70;84;faible;H>55;H_faible;>55_faible;H>55_faible;la famille.;le respect des personnes âgées, l'émancipation de la femme.;aux jeunes qui sortent de 6ème et qui ne savent pas lire.
139;Homme;55_59;56;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;mon travail.;ma famille et mon travail sont pour moi ce qui est le plus important. de but en blanc comme ça c'est déjà bien. je ne peux dire.;elle est plutôt en perte de vitesse, en stagnation, plutôt dégradée. musique, théâtre, cinéma, littérature, les poèmes, poésie et tout le reste.
138;Femme;40_44;40;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;mener à bien d'éducation de mes enfants.;un bienêtre, faire ce qui me plaît, j'aime beaucoup les vacances, la lecture, les sorties. j'aimerais que pour la plupart ça s'améliore un peu plus de solidarité pour moi ce serait important.;les traditions, la littérature, voir les expositions de peinture, le théâtre, les créations, la musique. je ne suis plus la culture française, c est un domaine très vaste.
137;Femme;65_70;65;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;ma famille.;mes amis, mes relations, la lecture, les vacances et les sorties culturelles que nous faisons beaucoup, ma maison, il y en a certainement beaucoup d'autres, mais ceux-là sont les principales.;la lecture, les expo théâtrales, le cinéma, la musique. la création de pièces de théâtres, les créateurs, c est tout un ensemble.
559;Femme;60_64;62;faible;F>55;F_faible;>55_faible;F>55_faible;la santé et bien vivre sans se faire de soucis.;être bien avec le reste de sa famille.;que c est bien.
558;Homme;>70;77;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;l'affection.;son travail, la santé.;la culture : les grands philosophes, les grands scientifiques et les grands romanciers.
557;Homme;50_54;54;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;arriver à la retraite en bonne santé.;RAS.;elle est en perte de vitesse.
556;Femme;45_49;49;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;la bonne entente dans un couple, le travail.;la lecture, le cinéma.
555;Femme;30_34;33;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;l'avenir de mon fils.;ma famille, mes amis, mon travail.;l orthographe, la littérature, les connaissances géographiques, historiques.
554;Homme;20_24;22;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;avoir une femme.;un travail qu'on aime.;"niveau personnel de culture pas très élevé ; même cas pour les autres."
553;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;avoir un enfant.;la santé, réussir à payer ma boutique, voyager, avoir une maison.;RAS
208;Femme;>70;75;faible;F>55;F_faible;>55_faible;F>55_faible;la tranquillité.;la santé.;"allons là... qu est-ce que je vais vous répondre. dîtes-moi un peu quelque chose. je ne vois pas ce que ça veut dire ""qu est-ce qu apprennent les enfants à l école (ils ne connaissent même pas leur département)."
121;Femme;20_24;23;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être heureuse.;avoir une bonne santé.;à la terre, je ne sais pas.
378;Homme;35_39;37;faible;H31_55;H_faible;31_55_faible;H31_55_faible;du travail.;une maison, des enfants heureux, vivre en tranquillité, sans les voisins.;à rien du tout. les français sont tartes, je n aime pas les français, la façon de vivre. ils sont radins ils sont assez fiers.
377;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;d'avoir du travail.;avoir une voiture, avoir sa maison.;sur la végétation, la nature, je n en sais rien, c est tout.
351;Homme;50_54;52;faible;H31_55;H_faible;31_55_faible;H31_55_faible;d'avoir un emploi.;être heureuse en ménage.;?
352;Femme;35_39;36;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;mes gamins.;;la littérature, la lecture et l orthographe en classe.
